date,code,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2015-04-21,sh.600519,170.0073600000,182.3541445200,170.0073600000,182.3541445200,12240188,3039243968.0000,1.071822,9.998700,2
2015-04-22,sh.600519,190.4082432000,190.5499160000,182.1274680400,186.9301759600,13463506,3543576704.0000,1.178943,2.509400,2
2015-04-23,sh.600519,187.0080960000,187.1285178800,179.2019247200,181.3695185600,8603012,2214737648.0000,0.753330,-2.974700,2
2015-04-24,sh.600519,178.4227243200,183.9479635200,173.5562636400,183.1050103600,10053123,2547399872.0000,0.880310,0.956900,2
2015-04-27,sh.600519,182.4603991200,189.6998792000,179.2090083600,181.1924275600,7897335,2050832432.0000,0.691537,-1.044500,2
2015-04-28,sh.600519,179.9244560000,183.1829304000,175.0013262000,175.5963519600,8729177,2187970736.0000,0.764378,-3.088500,2
2015-04-29,sh.600519,174.3283804000,179.2160920000,174.3283804000,176.9351599200,5930057,1477767696.0000,0.519270,0.762400,2
2015-04-30,sh.600519,177.9056186000,180.5619836000,175.4971810000,178.6706517200,6406407,1610938048.0000,0.560982,0.980900,2
2015-05-04,sh.600519,178.9752482400,183.4662760000,177.1051672800,180.6115690800,5473902,1398337296.0000,0.479327,1.086300,2
2015-05-05,sh.600519,178.5077280000,178.5077280000,169.9223563200,170.6803058000,7370003,1801146752.0000,0.645360,-5.498700,2
2015-05-06,sh.600519,172.8266487200,174.9588243600,170.0144436400,171.9057755200,6032432,1472597536.0000,0.528235,0.718000,2
2015-05-07,sh.600519,173.5491800000,178.4227243200,171.8207718400,173.4995945200,6810290,1693825904.0000,0.596349,0.927100,2
2015-05-08,sh.600519,174.3425476800,180.5478163200,174.1867076000,180.0448778800,5780559,1447670272.0000,0.506179,3.772500,2
2015-05-11,sh.600519,178.1535460000,182.7508283600,177.0910000000,182.3612281600,6134570,1552417968.0000,0.537179,1.286500,2
2015-05-12,sh.600519,182.1912208000,182.1912208000,178.5077280000,180.2219688800,4703129,1193035136.0000,0.411833,-1.173100,2
2015-05-13,sh.600519,179.7827832000,186.2784810800,178.8619100000,181.6245296000,5891341,1520374560.0000,0.515880,0.778200,2
2015-05-14,sh.600519,181.5182750000,183.8204580000,177.9552040800,178.0897932400,4185329,1062504720.0000,0.366492,-1.946200,2
2015-05-15,sh.600519,178.0897932400,179.5631903600,171.1478260400,173.6696018800,5418507,1333031168.0000,0.474476,-2.482000,2
2015-05-18,sh.600519,173.5491800000,173.5491800000,170.0781964000,170.8148949600,3536324,856505072.0000,0.309661,-1.643800,2
2015-05-19,sh.600519,170.7511422000,177.2468400800,170.1490328000,177.1193345600,4763777,1174434448.0000,0.417144,3.690800,2
2015-05-20,sh.600519,178.5077280000,184.1746400000,176.5951452000,179.8890378000,6377150,1631009456.0000,0.558420,1.563800,2
2015-05-21,sh.600519,181.3411840000,185.0955132000,179.9315396400,183.1758467600,4766913,1230234944.0000,0.417419,1.827100,2
2015-05-22,sh.600519,183.9479635200,196.0751552000,183.8842107600,195.4092930400,6664906,1779754352.0000,0.583618,6.678500,2
2015-05-25,sh.600519,191.2582800000,204.3559303600,190.5499160000,203.1800461200,6747362,1868570176.0000,0.590838,3.976700,2
2015-05-26,sh.600519,203.0171224000,205.4255600000,201.1470414400,202.2662565600,6091468,1746031120.0000,0.533404,-0.449700,2
2015-05-27,sh.600519,202.2520892800,204.9438724800,193.3833720000,196.1459916000,4693479,1309260000.0000,0.410988,-3.025900,2
2015-05-28,sh.600519,194.9771910000,199.0502840000,184.2454764000,184.9609240400,6088499,1650995552.0000,0.533144,-5.702400,2
2015-05-29,sh.600519,184.1817236400,190.5499160000,184.0967199600,186.8876741200,5778309,1531805536.0000,0.505982,1.041700,2
2015-06-01,sh.600519,186.9655941600,193.3692047200,184.0329672000,192.2924914400,6581670,1747123648.0000,0.576329,2.892000,2
2015-06-02,sh.600519,191.6124620000,191.6124620000,184.6421602400,188.8640096800,6463560,1708951664.0000,0.565987,-1.783000,2
2015-06-03,sh.600519,187.8439655200,188.8640096800,184.1817236400,186.1509755600,4642403,1218378720.0000,0.406516,-1.436500,2
2015-06-04,sh.600519,186.2855647200,187.7164600000,170.0073600000,182.9066684400,9236273,2332785392.0000,0.808782,-1.742800,2
2015-06-05,sh.600519,182.8358320400,185.6622044000,174.2575440000,179.8111177600,8573823,2188974560.0000,0.750774,-1.692400,2
2015-06-08,sh.600519,178.1606296400,189.5157045600,176.9493272000,187.4614489600,9600797,2462736704.0000,0.840702,4.254700,2
2015-06-09,sh.600519,187.7164600000,191.1166072000,181.6953660000,183.4875269200,7785186,2045525408.0000,0.681716,-2.119900,2
2015-06-10,sh.600519,181.0861729600,189.0481843200,179.7827832000,184.9184222000,8046208,2096832880.0000,0.704573,0.779800,2
2015-06-11,sh.600519,184.1746400000,187.3622780000,182.5949882800,184.2171418400,5295454,1378413760.0000,0.463701,-0.379200,2
2015-06-12,sh.600519,185.6763716800,193.3833720000,184.8830040000,188.4248240000,9090952,2438986512.0000,0.796057,2.284100,2
2015-06-15,sh.600519,189.1190207200,192.6750080000,184.2313091200,184.8050839600,10001422,2664672592.0000,0.875783,-1.921000,2
2015-06-16,sh.600519,183.4662760000,188.2831512000,178.8619100000,179.8890378000,6930384,1789696032.0000,0.606865,-2.660100,2
2015-06-17,sh.600519,179.8961214400,182.5879046400,176.3826360000,180.6965727600,5838881,1478407040.0000,0.511286,0.448900,2
2015-06-18,sh.600519,179.2302592800,180.4911472000,170.4323784000,172.8195650800,6150650,1530836128.0000,0.538587,-4.359200,2
2015-06-19,sh.600519,174.1654566800,176.0213703600,165.7713432800,166.6851328400,6760866,1646002768.0000,0.592021,-3.549600,2
2015-06-23,sh.600519,169.8656872000,181.2349294000,165.8492633200,178.6848190000,8124734,1989068144.0000,0.711449,7.199000,2
2015-06-24,sh.600519,177.0910000000,187.8581328000,175.4263446000,185.0317604400,9570694,2463553856.0000,0.838066,3.552000,2
2015-06-25,sh.600519,185.2371860000,185.6126189200,177.2397564400,178.3589715600,6652166,1707385600.0000,0.582502,-3.606300,2
2015-06-26,sh.600519,177.1051672800,181.1640930000,166.6780492000,171.7428518000,9933201,2451381600.0000,0.869809,-3.709400,2
2015-06-29,sh.600519,175.9363666800,181.6953660000,161.3653192000,174.7108969600,16507167,4057069904.0000,1.445464,1.728200,2
2015-06-30,sh.600519,174.7108969600,184.0471344800,174.2575440000,182.5099846000,12629819,3205285536.0000,1.105941,4.464000,2
2015-07-01,sh.600519,180.6328200000,190.1957340000,177.7851967200,182.3966463600,10332654,2696026032.0000,0.904787,-0.062100,2
2015-07-02,sh.600519,180.8453292000,200.1836664000,173.5562636400,184.3871492000,11845972,3011363680.0000,1.037302,1.091300,2
2015-07-03,sh.600519,180.6328200000,184.5288220000,171.5657608000,176.9564108400,10960531,2772183168.0000,0.959768,-4.030000,2
2015-07-06,sh.600519,189.8061338000,189.8344683600,169.6531780000,179.9527905600,27279966,7012491264.0000,2.388793,1.693300,2
2015-07-07,sh.600519,177.0910000000,181.7520351200,169.6531780000,172.9683215200,16756224,4121731568.0000,1.467273,-3.881300,2
2015-07-08,sh.600519,162.2153560000,173.5420963600,155.6700726400,167.7830970400,28914054,6738026752.0000,2.531883,-2.997800,2
2015-07-09,sh.600519,167.7830970400,184.4650692400,165.0488120000,182.7154101600,13820334,3409950544.0000,1.210189,8.899800,2
2015-07-10,sh.600519,182.0495480000,200.4670120000,178.4793934400,188.1343947600,25614930,6888908288.0000,2.242993,2.965800,2
2015-07-13,sh.600519,182.7579120000,188.1273111200,177.7993640000,182.5808210000,14892616,3838169456.0000,1.304084,-2.951900,2
2015-07-14,sh.600519,180.6328200000,180.7603255200,175.1075808000,176.4180542000,9676830,2425239232.0000,0.847360,-3.375400,2
2015-07-15,sh.600519,175.3200900000,179.0035828000,172.3307939200,177.9835386400,10407746,2585923328.0000,0.911363,0.887400,2
2015-07-16,sh.600519,177.9835386400,180.0519615200,175.8584466400,178.2172987600,7281433,1826618384.0000,0.637605,0.131300,2
2015-07-17,sh.600519,181.5953970000,182.3804600700,178.2172468200,181.0323719700,5641853,1284361184.0000,0.449121,1.579600,2
2015-07-20,sh.600519,180.1283599500,180.7231047000,176.4409425000,178.5106542300,6793355,1531275696.0000,0.540787,-1.393000,2
2015-07-21,sh.600519,175.8461977500,177.7890306000,174.4584600000,175.7748283800,5178996,1148423248.0000,0.412276,-1.532600,2
2015-07-22,sh.600519,174.4584600000,176.0444460000,171.7464239400,172.1825700900,7085510,1552554832.0000,0.564044,-2.043700,2
